currencyCode,retailPrice,unitPrice,location,meterId,meterName,productId,productName,skuName,armSkuName,serviceName,serviceFamily,unitOfMeasure,type
USD,3.68,3.68,EU West,ff6ae7cb-c0d3-4100-a9ee-fc56c68c8dc7,D64as v4,DZH318Z0CM2C,Virtual Machines Dasv4 Series,D64as v4,Standard_D64as_v4,Virtual Machines,3.68,1 Hour,Consumption
USD,44256.0,44256.0,EU West,ff6ae7cb-c0d3-4100-a9ee-fc56c68c8dc7,D64a v4/D64as v4,DZH318Z0CM2B,Virtual Machines Dav4 Series,D64a v4,Standard_D64a_v4,Virtual Machines,44256.0,1 Hour,Reservation
USD,106825.0,106825.0,EU West,ff81789f-1286-59d1-bb36-3ec6efa6f191,M64dms_v2,DZH318Z08LV1,Virtual Machines MdSv2 Series,M64dms_v2,M64dms_v2,Virtual Machines,106825.0,1 Hour,Reservation
USD,73753.0,73753.0,EU West,ff81789f-1286-59d1-bb36-3ec6efa6f191,M64dms_v2,DZH318Z08LV1,Virtual Machines MdSv2 Series,M64dms_v2,M64dms_v2,Virtual Machines,73753.0,1 Hour,Reservation
USD,14.476,14.476,EU West,ff81789f-1286-59d1-bb36-3ec6efa6f191,M64dms_v2,DZH318Z08LV1,Virtual Machines MdSv2 Series,M64dms_v2,M64dms_v2,Virtual Machines,14.476,1 Hour,Consumption
USD,0.816058,0.816058,EU West,ff865eac-f34a-5fb6-9449-c6031c1b7656,E48as v4 Spot,DZH318Z0CM92,Virtual Machines Easv4 Series Windows,E48as v4 Spot,Standard_E48as_v4,Virtual Machines,0.816058,1 Hour,DevTestConsumption
USD,2.04023,2.04023,EU West,ff865eac-f34a-5fb6-9449-c6031c1b7656,E48as v4 Spot,DZH318Z0CM92,Virtual Machines Easv4 Series Windows,E48as v4 Spot,Standard_E48as_v4,Virtual Machines,2.04023,1 Hour,Consumption
USD,0.082417,0.082417,EU West,ff909d3e-6952-5786-b483-d56ef40db768,E8-2ds v4 Spot,DZH318Z0CSHK,Virtual Machines Edsv4 Series,E8-2ds v4 Spot,Standard_E8-2ds_v4,Virtual Machines,0.082417,1 Hour,Consumption
USD,3.0,3.0,EU West,ff92c14c-af83-412e-9144-a2542dfe0b4f,Certificate Renewal Request,DZH318Z0BQG0,Key Vault,Premium,,Key Vault,3.0,1,Consumption
USD,3.0,3.0,EU West,ff92c14c-af83-412e-9144-a2542dfe0b4f,Certificate Renewal Request,DZH318Z0BQG0,Key Vault,Standard,,Key Vault,3.0,1,Consumption
USD,0.382904,0.382904,EU West,ffbc1de0-ab5a-5a88-9b75-89ab06dc2c36,D32a v4/D32as v4 Spot,DZH318Z0CM2B,Virtual Machines Dav4 Series,D32a v4 Spot,Standard_D32a_v4,Virtual Machines,0.382904,1 Hour,Consumption
USD,0.14,0.14,EU West,ffc1e024-a212-469f-af2d-e11862844c7e,Hot GRS Iterative Write Operations,DZH318Z0C120,General Block Blob v2 Hierarchical Namespace,Hot RA-GRS,,Storage,0.14,100,Consumption
USD,0.14,0.14,EU West,ffc1e024-a212-469f-af2d-e11862844c7e,Hot GRS Iterative Write Operations,DZH318Z0C120,General Block Blob v2 Hierarchical Namespace,Hot GRS,,Storage,0.14,100,Consumption
USD,0.553,0.553,EU West,ffdc19d1-edc5-4eea-bb90-59874848f262,H16m Low Priority,DZH318Z0BPW8,Virtual Machines H Series Windows,H16m Low Priority,Standard_H16m,Virtual Machines,0.553,1 Hour,DevTestConsumption
USD,1.828,1.828,EU West,ffdc19d1-edc5-4eea-bb90-59874848f262,H16m Low Priority,DZH318Z0BPW8,Virtual Machines H Series Windows,H16m Low Priority,Standard_H16m,Virtual Machines,1.828,1 Hour,Consumption
